ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008860,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008861,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008862,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008863,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008864,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008865,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008866,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008867,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5112846,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
6153736,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008868,F,N,Y,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,Core staff,3
5008870,F,N,Y,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,Core staff,3
5008872,M,Y,Y,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,Security staff,2
6153737,M,Y,Y,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,Security staff,2
5008873,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008874,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008875,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008876,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008877,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008878,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008879,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008880,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008881,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008882,F,N,Y,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008884,F,N,Y,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,,1
5008888,F,N,Y,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Core staff,1
5008889,F,N,Y,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Core staff,1
5008890,F,N,Y,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Core staff,1
5112847,F,N,Y,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Core staff,1
5008891,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008892,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008893,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008894,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008895,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008896,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008897,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008898,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008899,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008900,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008901,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008902,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008903,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008904,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008905,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008906,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008907,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008908,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008909,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008910,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008911,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008912,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008913,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008914,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008915,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008916,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008917,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008918,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008919,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008920,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008921,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008922,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008923,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008924,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008925,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008926,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008927,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008928,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008929,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008930,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008931,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008932,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008933,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008934,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008935,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008936,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008937,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008938,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008939,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008940,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008941,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
6153773,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
6153774,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
6153775,F,N,Y,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
5008942,F,N,N,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008943,F,N,N,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008944,F,N,N,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008945,F,N,N,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008946,F,N,N,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,High skill tech staff,2
5008947,M,N,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008948,M,N,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008949,M,N,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008950,M,N,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Drivers,2
5008951,M,N,Y,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,,3
5008952,M,N,Y,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,,3
5008953,M,N,Y,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,,3
5008954,M,N,Y,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,,3
5008955,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008956,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008957,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008958,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008959,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008960,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008962,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008963,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Laborers,2
5008966,M,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,,2
5008967,M,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,,2
5008971,M,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,,2
5008973,M,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,,2
5008974,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008975,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008976,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008977,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008978,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008979,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008980,F,N,Y,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,,2
5008981,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008983,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008984,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008986,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008987,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008988,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
6153800,M,Y,Y,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Drivers,2
5008991,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008992,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008993,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008994,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008995,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5112861,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
6153801,F,Y,Y,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Cleaning staff,1
5008998,F,Y,Y,270000,Working,Higher education,Married,House / apartment,-10628,-828,Managers,2
5008999,F,Y,Y,270000,Working,Higher education,Married,House / apartment,-10628,-828,Managers,2
5009000,M,Y,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,Drivers,2
6153549,M,Y,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,Drivers,2
5009001,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009002,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009005,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009006,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009007,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009008,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009009,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009010,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009012,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009014,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
6153574,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
6153575,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
6153576,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
6153578,M,N,Y,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,Laborers,2
5009016,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009018,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009019,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009020,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009022,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009023,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009024,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009025,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
6153579,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
6153580,F,N,Y,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,,4
5009027,F,Y,Y,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,Laborers,2
5112862,F,Y,Y,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,Laborers,2
5009028,F,Y,Y,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,Laborers,2
5009029,F,Y,Y,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,Laborers,2
5009031,F,N,Y,315000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,Accountants,1
5009032,F,N,Y,315000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,Accountants,1
6153669,F,N,Y,315000,Working,Secondary / secondary special,Single / not married,House / apartment,-10554,-1194,Accountants,1
5009033,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009034,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009035,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009036,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009037,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009038,F,N,N,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,-18682,365243,,2
5009039,F,N,Y,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,Core staff,3
5009040,F,N,Y,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-14326,-555,Core staff,3
5009042,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009043,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009044,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009045,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009046,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009047,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
6153693,F,N,Y,148500,Working,Higher education,Married,House / apartment,-17641,-889,Core staff,2
5009050,F,N,Y,202500,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009051,F,N,Y,202500,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009052,F,N,Y,202500,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009053,F,N,Y,202500,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009055,F,N,Y,202500,Working,Higher education,Married,House / apartment,-10997,-2289,Core staff,4
5009056,M,N,Y,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,Drivers,1
5009057,M,N,Y,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,Drivers,1
5009058,F,Y,Y,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7489,-797,Private service staff,1
5009060,F,N,Y,94500,Pensioner,Higher education,Married,House / apartment,-22331,365243,,2
5009062,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009063,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009064,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009065,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009066,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009067,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009068,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009069,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009070,M,Y,Y,315000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,Sales staff,2
5009071,F,Y,Y,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,High skill tech staff,2
5009072,F,Y,Y,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,High skill tech staff,2
6153722,F,Y,Y,270000,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,-10264,-3173,High skill tech staff,2
5009074,F,Y,Y,450000,State servant,Higher education,Married,House / apartment,-17726,-708,Core staff,3
5009075,F,Y,Y,450000,State servant,Higher education,Married,House / apartment,-17726,-708,Core staff,3
5009078,M,N,Y,180000,Working,Secondary / secondary special,Married,With parents,-14122,-1286,Drivers,3
5009079,F,N,Y,112500,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,Laborers,2
5009080,F,N,Y,112500,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,Laborers,2
5009081,F,N,Y,112500,Working,Higher education,Civil marriage,House / apartment,-10064,-3173,Laborers,2
